Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,56,26,.683,3.0,96.5,91.1,4.83
New York Knicks,42,40,.512,10.0,106.5,105.7,0.48
Philadelphia 76ers,41,41,.500,10.5,99.0,97.5,1.01
New Jersey Nets,24,58,.293,19.0,94.2,100.4,-6.28
Toronto Raptors,22,60,.268,20.0,99.1,105.4,-6.28
Chicago Bulls,62,20,.756,0.0,98.6,91.3,6.53
Indiana Pacers,37,45,.451,12.5,99.8,100.9,-1.38
Milwaukee Bucks,35,47,.427,13.5,91.9,92.7,-1.02
Detroit Pistons,30,52,.366,16.0,97.0,100.6,-3.78
Cleveland Cavaliers,19,63,.232,21.5,95.5,104.5,-8.88
Miami Heat,58,24,.707,2.0,102.1,94.6,6.76
Orlando Magic,52,30,.634,5.0,99.2,93.7,4.92
Atlanta Hawks,44,38,.537,9.0,95.0,95.8,-1.10
Charlotte Bobcats,34,48,.415,14.0,93.3,97.3,-4.08
Washington Wizards,23,59,.280,19.5,97.3,104.7,-7.30
Oklahoma City Thunder,55,27,.671,3.5,104.8,101.0,3.81
Denver Nuggets,50,32,.610,6.0,107.5,102.7,4.81
Portland Trail Blazers,48,34,.585,7.0,96.3,94.8,1.85
Utah Jazz,39,43,.476,11.5,99.4,101.3,-1.44
Minnesota Timberwolves,17,65,.207,22.5,101.1,107.7,-5.97
Los Angeles Lakers,57,25,.695,2.5,101.5,95.4,6.01
Phoenix Suns,40,42,.488,11.0,105.0,105.9,-0.46
Golden State Warriors,36,46,.439,13.0,103.4,105.7,-2.00
Los Angeles Clippers,32,50,.390,15.0,98.6,101.8,-2.71
Sacramento Kings,24,58,.293,19.0,99.4,104.7,-4.80
San Antonio Spurs,61,21,.744,0.5,103.7,98.0,5.86
Dallas Mavericks,57,25,.695,2.5,100.2,96.0,4.41
New Orleans Hornets,46,36,.561,8.0,94.9,94.0,1.28
Memphis Grizzlies,46,36,.561,8.0,99.9,97.6,2.55
Houston Rockets,43,39,.524,9.5,105.9,103.7,2.37
