Rk,Team,G,MP,FG%,Dist.,% of FGA By Distance - 2P,% of FGA By Distance - 0-3,% of FGA By Distance - 3-10,% of FGA By Distance - 10-16,% of FGA By Distance - 16-3P,% of FGA By Distance - 3P,FG% By Distance - 2P,FG% By Distance - 0-3,FG% By Distance - 3-10,FG% By Distance - 10-16,FG% By Distance - 16-3P,FG% By Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Dunks - Md.,Layups - %FGA,Layups - Md.,Corner - %3PA,Corner - 3P%,Heaves - Att.,Heaves - Md.
1,Atlanta Hawks,82,19780,.439,11.1,.819,.328,.153,.146,.193,.181,.458,.583,.349,.363,.400,.354,.525,.839,.054,313,.245,851,.255,.354,5,0
2,Boston Celtics,82,19830,.424,13.3,.711,.293,.124,.111,.182,.289,.450,.581,.324,.351,.385,.359,.512,.886,.032,204,.255,892,.213,.330,15,2
3,Charlotte Hornets,82,19755,.440,11.6,.849,.308,.131,.162,.248,.151,.456,.577,.402,.363,.395,.348,.580,.812,.049,292,.234,802,.153,.408,8,0
4,Chicago Bulls,82,19805,.433,12.0,.866,.295,.111,.161,.299,.134,.447,.562,.343,.405,.393,.346,.617,.890,.050,293,.229,733,.189,.305,7,0
5,Cleveland Cavaliers,82,19855,.448,12.4,.844,.255,.141,.206,.242,.156,.461,.580,.391,.425,.407,.377,.601,.910,.046,266,.183,620,.238,.430,20,1
6,Dallas Mavericks,82,19880,.462,12.8,.763,.281,.121,.146,.214,.237,.488,.607,.404,.411,.431,.378,.510,.799,.037,232,.228,872,.160,.436,9,0
7,Denver Nuggets,82,19805,.424,12.0,.813,.300,.147,.121,.245,.187,.446,.583,.360,.397,.355,.329,.586,.842,.038,228,.229,871,.306,.344,17,0
8,Detroit Pistons,82,19680,.452,12.7,.760,.283,.124,.146,.207,.240,.475,.613,.420,.356,.404,.376,.555,.884,.048,270,.214,757,.306,.398,6,1
9,Golden State Warriors,82,19780,.429,10.6,.858,.297,.235,.111,.215,.142,.447,.640,.326,.372,.351,.322,.532,.881,.040,254,.227,975,.193,.359,15,1
10,Houston Rockets,82,19980,.428,13.0,.777,.295,.108,.103,.271,.223,.455,.587,.348,.355,.391,.335,.457,.829,.052,298,.218,760,.241,.350,15,0
11,Indiana Pacers,82,19905,.446,12.4,.818,.236,.193,.168,.222,.182,.470,.639,.408,.389,.405,.339,.601,.896,.052,311,.178,655,.288,.384,11,0
12,Los Angeles Clippers,82,19805,.445,11.3,.828,.261,.230,.184,.153,.172,.464,.632,.404,.380,.369,.356,.523,.919,.056,342,.183,673,.113,.408,9,0
13,Los Angeles Lakers,82,19780,.461,12.3,.790,.280,.167,.137,.206,.210,.489,.657,.414,.403,.379,.354,.539,.902,.078,489,.178,692,.257,.419,15,1
14,Memphis Grizzlies,82,19780,.436,11.6,.832,.288,.176,.135,.233,.168,.462,.622,.362,.370,.394,.307,.613,.723,.075,445,.188,640,.215,.352,11,0
15,Miami Heat,82,19930,.439,12.9,.859,.238,.134,.164,.323,.141,.454,.638,.389,.370,.388,.347,.556,.894,.047,267,.174,642,.305,.416,19,1
16,Milwaukee Bucks,82,19905,.462,13.1,.759,.237,.126,.236,.160,.241,.490,.571,.466,.466,.425,.375,.550,.841,.036,215,.179,635,.268,.399,18,0
17,Minnesota Timberwolves,82,19805,.461,12.4,.848,.236,.175,.151,.286,.152,.476,.629,.420,.426,.409,.378,.604,.793,.037,235,.172,669,.211,.398,9,0
18,New Jersey Nets,82,19830,.446,11.6,.825,.327,.135,.133,.230,.175,.469,.610,.382,.361,.383,.338,.620,.876,.077,463,.217,800,.193,.364,18,0
19,New York Knicks,82,19805,.432,12.5,.794,.246,.159,.190,.198,.206,.453,.556,.419,.403,.399,.353,.566,.829,.021,124,.202,704,.271,.354,5,1
20,Orlando Magic,82,19830,.448,12.9,.759,.294,.113,.109,.242,.241,.471,.610,.377,.369,.394,.373,.519,.845,.046,275,.215,829,.192,.417,7,0
21,Philadelphia 76ers,82,19730,.436,10.8,.889,.304,.149,.217,.218,.111,.453,.592,.395,.345,.405,.299,.558,.897,.024,141,.252,915,.238,.406,3,0
22,Phoenix Suns,82,19830,.447,11.1,.842,.330,.142,.162,.208,.158,.469,.588,.388,.387,.400,.327,.567,.796,.045,286,.257,959,.219,.313,7,0
23,Portland Trail Blazers,82,19830,.450,12.4,.802,.307,.123,.117,.255,.198,.474,.612,.361,.397,.397,.354,.602,.856,.068,425,.213,752,.208,.394,11,0
