Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers,56,26,.683,1.0,94.7,90.4,3.64
Miami Heat,50,32,.610,4.0,88.9,86.6,1.73
New York Knicks,48,34,.585,5.0,88.7,86.1,1.98
Orlando Magic,43,39,.524,7.5,97.5,96.5,0.39
Boston Celtics,36,46,.439,11.0,94.6,96.8,-2.40
New Jersey Nets,26,56,.317,16.0,92.1,97.1,-5.30
Washington Wizards,19,63,.232,19.5,93.2,99.9,-6.75
Milwaukee Bucks,52,30,.634,3.0,100.7,96.9,3.14
Toronto Raptors,47,35,.573,5.5,97.6,95.4,1.69
Charlotte Hornets,46,36,.561,6.0,91.9,89.8,1.45
Indiana Pacers,41,41,.500,8.5,92.6,92.8,-0.77
Detroit Pistons,32,50,.390,13.0,95.6,97.3,-2.08
Cleveland Cavaliers,30,52,.366,14.0,92.2,96.5,-4.48
Atlanta Hawks,25,57,.305,16.5,91.0,96.2,-5.55
Chicago Bulls,15,67,.183,21.5,87.6,96.7,-9.09
San Antonio Spurs,58,24,.707,0.0,96.2,88.4,7.92
Utah Jazz,53,29,.646,2.5,97.1,92.4,5.00
Dallas Mavericks,53,29,.646,2.5,100.5,96.2,4.61
Minnesota Timberwolves,47,35,.573,5.5,97.3,96.0,1.81
Houston Rockets,45,37,.549,6.5,97.2,94.9,2.71
Denver Nuggets,40,42,.488,9.0,96.6,99.0,-1.83
Vancouver Grizzlies,23,59,.280,17.5,91.7,97.5,-4.94
Los Angeles Lakers,56,26,.683,1.0,100.6,97.2,3.74
Sacramento Kings,55,27,.671,1.5,101.7,95.9,6.07
Phoenix Suns,51,31,.622,3.5,94.0,91.8,2.63
Portland Trail Blazers,50,32,.610,4.0,95.4,91.2,4.52
Seattle SuperSonics,44,38,.537,7.0,97.3,97.3,0.55
Los Angeles Clippers,31,51,.378,13.5,92.5,95.3,-2.23
Golden State Warriors,17,65,.207,20.5,92.5,101.5,-8.11
